"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923978389,0.0600016229733008,-40.377561801319,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534773612,0.0724172024444124,44.2153968899026,0,0,"FAM46C","54855","family with sequence similarity 46 member C"
"ENSG00000159176",5692.46278267679,-2.31373756501608,0.0575533673592063,-40.2016019423401,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137021873,0.0538449085463499,-38.2511815104262,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801937251543,0.0431679927424549,-43.7365569388312,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.6497920067074,0.0439354379992605,-37.550371222774,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450833208905,0.0690717580675247,48.4207789936294,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794572615,0.0617086160546661,38.7674865955004,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.1191885778,1.83225777685849,0.0388966424628588,47.1058081326186,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649933583,0.0419165006813153,-43.993331250522,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046255751,0.0552681297666013,41.0015767156809,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550832,0.0552183321437176,40.974172483508,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832557656,0.0757850361535343,-42.1726832603419,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295763386,0.0543254358165818,38.2834104572255,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810354687,0.0505768640505535,-38.3261821375352,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205039229,0.0462973444005445,44.0060240338176,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949490537,0.0435953854039191,44.7421092125504,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169442333,0.0653981307708832,38.5901196972277,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311452762,0.0865185438877854,44.5945220660646,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774840744,0.0581377327458866,-41.3963124246141,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912745722,0.0696221043414304,-42.0008724975741,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576629297,0.0404435495977755,-52.9712596347084,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041296336,0.0670975527698615,37.7738130279739,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117833481,0.0358590286663228,-37.3387464226625,3.86098469080003e-305,2.37096634887545e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567994,0.044758130913978,37.2705365844258,4.92688310657148e-304,2.90449612898602e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073535364,0.0488625151760466,36.9471511822348,8.09253030263603e-299,4.58721967693269e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709006221,0.0550460864920022,36.8352633089876,5.0353269602553e-297,2.74854254593491e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702359231,0.069361390188622,36.6909748589466,1.01728334559362e-294,5.35454355262812e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670758453,0.0589063490195832,-36.4661321459663,3.81881179365072e-291,1.94074649016635e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.434136569399,0.121636384988718,36.454031166828,5.93859998087205e-291,2.91743621726974e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084197843,0.0608219616739823,-36.2808232626007,3.2465715696619e-288,1.54348296108636e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600346715,0.0694013578071832,36.2707025194053,4.68804565325213e-288,2.15913802617593e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338581691,0.0499749039244693,-36.2228487432982,2.65991456241312e-287,1.18793396426802e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031436,0.0535351856113849,36.144698635412,4.50699778570377e-286,1.95365098134418e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200636245,0.0781715125775273,-36.139917384362,5.35788221756311e-286,2.21232815334939e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304143088,0.0909710045340257,36.1396805308576,5.40397703355801e-286,2.21232815334939e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.746245876896,0.0487932052541506,-35.7887100837152,1.65489613756836e-280,6.59185385823853e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202050613,0.0656155300111949,35.3236805389012,2.5430959494443e-273,9.86319686918687e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515285899127,0.0653960015011254,-35.2491407131612,3.53654077374375e-272,1.3364496903445e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747584700684,0.0743747831982839,-35.193055151887,2.55371420089289e-271,9.40915997318986e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506770038,0.0806594361640562,35.1779680424398,4.34412610047241e-271,1.56155440167713e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473639,0.126316443343342,35.1424930824256,1.51369641560487e-270,5.31163280313919e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014082334,0.0861136731840851,-34.9774899786763,4.94852988942902e-268,1.69607984907918e-265,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849876883,0.069068073194939,-34.9512935152464,1.23762827804661e-267,4.14549217314794e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042981616,0.0676832770801971,34.8366765253159,6.77564561453398e-266,2.21909922371115e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.7328392758576,0.049751464067041,34.8299152266669,8.57667884937201e-266,2.74789332352271e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019561287,0.0588365443641206,34.2452164277949,5.13847152959276e-257,1.61129347666251e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098961345,0.0928701295023594,-34.20390395313,2.11546976359753e-256,6.49537361997924e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757629988,0.0569242465776789,-33.8997473364288,6.71901450561582e-252,2.02091501599522e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019839702,0.0418063496206244,33.7243076994572,2.54552189618772e-249,7.50318034120293e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888548848,0.0611321285439734,33.6829247489285,1.0281194767899e-248,2.97106369586854e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961551472,0.0460243829003942,33.6071777184321,1.31772453196269e-247,3.73473541385886e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784332126,0.0564684078947348,-33.5341107341158,1.53479945053555e-246,4.26790081169678e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354659189944,0.050960109771504,-33.429021239119,5.19402353382557e-245,1.41758368225039e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401591140116,0.0439329011051221,-33.3239070167044,1.73989237385338e-243,4.66227887379111e-241,"ANXA1","301","annexin A1"
